rtA1,rtA2,rtA1a,rtA1b,rtA1c,rtA1a1,rtA1a2,rtA1b1,rtA1b2,rtA1c1,rtA1c2,rtA1a1a,rtA1a1b,rtA1a2a,rtA1a2b,rtA1b1a,rtA1b1b,rtA1c1a,rtA1c1b,rtA1c2a,rtA1c2b,rtA2a,rtA2b,rtA2a1,rtA2a2,rtA2a3,rtA2a1A,rtA2a1B,rtA2a1A1,rtA2a1A2,rtA2a1B1,rtA2a1B2,rtA2a2A,rtA2a2B,rtA2a2A1,rtA2a2A2,rtA2a2B1,rtA2a2B2,rtA2a3A,rtA2a3B,rtA2a3A1,rtA2a3A2,rtA2a3B1,rtA2a3B2,rtA2b1,rtA2b2,rtA2b1A,rtA2b1B,rtA2b2A,rtA2b2B,id,isSmoker,willpower,health,smokedPerDay,turnsSinceLastChange,givingUp,stepsSinceGiveUp,giveUpAttempts,influenceability,sociable,$SWITCH_TABLE$simconsts$Operations
17866737,51222479,1441923,13962745,2462069,1101002,340921,9016422,0,1602556,859513,405073,695929,2766125,2521119,2108489,0,597430,1005126,276008,583505,1100561,50121918,298087,789449,13025,121709,176378,53305,68404,118107,58271,778978,10471,305733,473245,10471,0,1822,11203,1318,504,11203,0,21913013,28208905,7453411,14459602,12367446,15841459,n0,false,0.8427223143504836,0.746446853383712,0,10002,false,501,4,0.4980477120012749,0.4450878813640151,null
17866737,51222479,1441923,13962745,2462069,1101002,340921,9016422,0,1602556,859513,405073,695929,2766125,2521119,2108489,0,597430,1005126,276008,583505,1100561,50121918,298087,789449,13025,121709,176378,53305,68404,118107,58271,778978,10471,305733,473245,10471,0,1822,11203,1318,504,11203,0,21913013,28208905,7453411,14459602,12367446,15841459,n1,true,0.152584631148873,0.7542458758323816,21,7571,false,500,1,0.24486701391518495,0.219915457707192,null
17866737,51222479,1441923,13962745,2462069,1101002,340921,9016422,0,1602556,859513,405073,695929,2766125,2521119,2108489,0,597430,1005126,276008,583505,1100561,50121918,298087,789449,13025,121709,176378,53305,68404,118107,58271,778978,10471,305733,473245,10471,0,1822,11203,1318,504,11203,0,21913013,28208905,7453411,14459602,12367446,15841459,n2,false,0.6668070576894557,0.8003528173131926,0,21699,false,0,0,0.4121270694795848,0.8972759475418117,null
17866737,51222479,1441923,13962745,2462069,1101002,340921,9016422,0,1602556,859513,405073,695929,2766125,2521119,2108489,0,597430,1005126,276008,583505,1100561,50121918,298087,789449,13025,121709,176378,53305,68404,118107,58271,778978,10471,305733,473245,10471,0,1822,11203,1318,504,11203,0,21913013,28208905,7453411,14459602,12367446,15841459,n3,false,0.008218620607671163,0.734053548110419,0,9944,false,501,3,0.5144337102074323,0.07595471670217813,null
17866737,51222479,1441923,13962745,2462069,1101002,340921,9016422,0,1602556,859513,405073,695929,2766125,2521119,2108489,0,597430,1005126,276008,583505,1100561,50121918,298087,789449,13025,121709,176378,53305,68404,118107,58271,778978,10471,305733,473245,10471,0,1822,11203,1318,504,11203,0,21913013,28208905,7453411,14459602,12367446,15841459,n4,true,0.8463534038889801,0.7797815630082817,8,20288,false,0,1,0.3302299236162659,0.840575071327416,null
17866737,51222479,1441923,13962745,2462069,1101002,340921,9016422,0,1602556,859513,405073,695929,2766125,2521119,2108489,0,597430,1005126,276008,583505,1100561,50121918,298087,789449,13025,121709,176378,53305,68404,118107,58271,778978,10471,305733,473245,10471,0,1822,11203,1318,504,11203,0,21913013,28208905,7453411,14459602,12367446,15841459,n6,false,0.559454421395914,0.8436641981430812,0,21699,false,500,0,0.8462237315786152,0.7929599181749184,null
17866737,51222479,1441923,13962745,2462069,1101002,340921,9016422,0,1602556,859513,405073,695929,2766125,2521119,2108489,0,597430,1005126,276008,583505,1100561,50121918,298087,789449,13025,121709,176378,53305,68404,118107,58271,778978,10471,305733,473245,10471,0,1822,11203,1318,504,11203,0,21913013,28208905,7453411,14459602,12367446,15841459,n9,false,0.4771911124946262,0.3467547303406848,0,9917,false,501,3,0.6984883332339332,0.36557837127056514,null
17866737,51222479,1441923,13962745,2462069,1101002,340921,9016422,0,1602556,859513,405073,695929,2766125,2521119,2108489,0,597430,1005126,276008,583505,1100561,50121918,298087,789449,13025,121709,176378,53305,68404,118107,58271,778978,10471,305733,473245,10471,0,1822,11203,1318,504,11203,0,21913013,28208905,7453411,14459602,12367446,15841459,n10,false,0.47173766287345037,0.6052875139547479,0,14576,false,501,3,0.6179265606682179,0.4620361204540254,null
17866737,51222479,1441923,13962745,2462069,1101002,340921,9016422,0,1602556,859513,405073,695929,2766125,2521119,2108489,0,597430,1005126,276008,583505,1100561,50121918,298087,789449,13025,121709,176378,53305,68404,118107,58271,778978,10471,305733,473245,10471,0,1822,11203,1318,504,11203,0,21913013,28208905,7453411,14459602,12367446,15841459,n12,true,0.8729022467302371,0.46931172469547855,13,21699,false,0,0,0.08411280914527236,0.5597288968719627,null
17866737,51222479,1441923,13962745,2462069,1101002,340921,9016422,0,1602556,859513,405073,695929,2766125,2521119,2108489,0,597430,1005126,276008,583505,1100561,50121918,298087,789449,13025,121709,176378,53305,68404,118107,58271,778978,10471,305733,473245,10471,0,1822,11203,1318,504,11203,0,21913013,28208905,7453411,14459602,12367446,15841459,n13,false,0.832354424136099,0.770227106546004,0,18014,false,501,3,0.032908705347140965,0.05722521380729462,null
17866737,51222479,1441923,13962745,2462069,1101002,340921,9016422,0,1602556,859513,405073,695929,2766125,2521119,2108489,0,597430,1005126,276008,583505,1100561,50121918,298087,789449,13025,121709,176378,53305,68404,118107,58271,778978,10471,305733,473245,10471,0,1822,11203,1318,504,11203,0,21913013,28208905,7453411,14459602,12367446,15841459,n15,false,0.2962015670656689,0.7453848249619409,0,93,false,502,4,0.3777788934913462,0.8952486235541306,null
17866737,51222479,1441923,13962745,2462069,1101002,340921,9016422,0,1602556,859513,405073,695929,2766125,2521119,2108489,0,597430,1005126,276008,583505,1100561,50121918,298087,789449,13025,121709,176378,53305,68404,118107,58271,778978,10471,305733,473245,10471,0,1822,11203,1318,504,11203,0,21913013,28208905,7453411,14459602,12367446,15841459,n19,true,0.5777279630921581,0.8660997797776264,17,5670,false,500,2,0.025086569532347502,0.8345130043941151,null
17866737,51222479,1441923,13962745,2462069,1101002,340921,9016422,0,1602556,859513,405073,695929,2766125,2521119,2108489,0,597430,1005126,276008,583505,1100561,50121918,298087,789449,13025,121709,176378,53305,68404,118107,58271,778978,10471,305733,473245,10471,0,1822,11203,1318,504,11203,0,21913013,28208905,7453411,14459602,12367446,15841459,n23,false,0.36171383927382567,0.6869305902518238,0,1174,false,500,2,0.7357288745401944,0.6071228680604048,null
