rtA1,rtA2,rtA1a,rtA1b,rtA1c,rtA1a1,rtA1a2,rtA1b1,rtA1b2,rtA1c1,rtA1c2,rtA1a1a,rtA1a1b,rtA1a2a,rtA1a2b,rtA1b1a,rtA1b1b,rtA1c1a,rtA1c1b,rtA1c2a,rtA1c2b,rtA2a,rtA2b,rtA2a1,rtA2a2,rtA2a3,rtA2a1A,rtA2a1B,rtA2a1A1,rtA2a1A2,rtA2a1B1,rtA2a1B2,rtA2a2A,rtA2a2B,rtA2a2A1,rtA2a2A2,rtA2a2B1,rtA2a2B2,rtA2a3A,rtA2a3B,rtA2a3A1,rtA2a3A2,rtA2a3B1,rtA2a3B2,rtA2b1,rtA2b2,rtA2b1A,rtA2b1B,rtA2b2A,rtA2b2B,id,isSmoker,willpower,health,smokedPerDay,turnsSinceLastChange,givingUp,stepsSinceGiveUp,giveUpAttempts,influenceability,sociable,$SWITCH_TABLE$simconsts$Operations
8436419,26607793,622581,7022234,791604,415491,207090,4618301,0,470242,321362,162127,253364,1217820,1393203,1017777,0,121894,348348,104484,216878,579781,26028012,201025,373349,5407,84951,116074,38407,46544,77574,38500,372005,1344,144639,227366,1344,0,350,5057,344,6,5057,0,11164011,14864001,3745542,7418469,6646985,8217016,n0,false,0.7974568911118985,0.746446853383712,0,5242,false,500,1,0.4980477120012749,0.4450878813640151,null
8436419,26607793,622581,7022234,791604,415491,207090,4618301,0,470242,321362,162127,253364,1217820,1393203,1017777,0,121894,348348,104484,216878,579781,26028012,201025,373349,5407,84951,116074,38407,46544,77574,38500,372005,1344,144639,227366,1344,0,350,5057,344,6,5057,0,11164011,14864001,3745542,7418469,6646985,8217016,n1,false,0.15061387842974977,0.7542458758323816,0,2923,false,501,3,0.24486701391518495,0.219915457707192,null
8436419,26607793,622581,7022234,791604,415491,207090,4618301,0,470242,321362,162127,253364,1217820,1393203,1017777,0,121894,348348,104484,216878,579781,26028012,201025,373349,5407,84951,116074,38407,46544,77574,38500,372005,1344,144639,227366,1344,0,350,5057,344,6,5057,0,11164011,14864001,3745542,7418469,6646985,8217016,n2,false,0.6848984652674961,0.8003528173131926,0,3498,false,500,2,0.4121270694795848,0.8972759475418117,null
8436419,26607793,622581,7022234,791604,415491,207090,4618301,0,470242,321362,162127,253364,1217820,1393203,1017777,0,121894,348348,104484,216878,579781,26028012,201025,373349,5407,84951,116074,38407,46544,77574,38500,372005,1344,144639,227366,1344,0,350,5057,344,6,5057,0,11164011,14864001,3745542,7418469,6646985,8217016,n3,false,0.008281651022736149,0.734053548110419,0,10400,false,503,7,0.5144337102074323,0.07595471670217813,null
8436419,26607793,622581,7022234,791604,415491,207090,4618301,0,470242,321362,162127,253364,1217820,1393203,1017777,0,121894,348348,104484,216878,579781,26028012,201025,373349,5407,84951,116074,38407,46544,77574,38500,372005,1344,144639,227366,1344,0,350,5057,344,6,5057,0,11164011,14864001,3745542,7418469,6646985,8217016,n4,true,0.8926787209092887,0.7797815630082817,12,10711,false,0,1,0.3302299236162659,0.840575071327416,null
8436419,26607793,622581,7022234,791604,415491,207090,4618301,0,470242,321362,162127,253364,1217820,1393203,1017777,0,121894,348348,104484,216878,579781,26028012,201025,373349,5407,84951,116074,38407,46544,77574,38500,372005,1344,144639,227366,1344,0,350,5057,344,6,5057,0,11164011,14864001,3745542,7418469,6646985,8217016,n6,false,0.5756109041960461,0.8436641981430812,0,3563,false,501,3,0.8462237315786152,0.7929599181749184,null
8436419,26607793,622581,7022234,791604,415491,207090,4618301,0,470242,321362,162127,253364,1217820,1393203,1017777,0,121894,348348,104484,216878,579781,26028012,201025,373349,5407,84951,116074,38407,46544,77574,38500,372005,1344,144639,227366,1344,0,350,5057,344,6,5057,0,11164011,14864001,3745542,7418469,6646985,8217016,n9,false,0.48250293821384715,0.3467547303406848,0,4159,false,501,4,0.6984883332339332,0.36557837127056514,null
8436419,26607793,622581,7022234,791604,415491,207090,4618301,0,470242,321362,162127,253364,1217820,1393203,1017777,0,121894,348348,104484,216878,579781,26028012,201025,373349,5407,84951,116074,38407,46544,77574,38500,372005,1344,144639,227366,1344,0,350,5057,344,6,5057,0,11164011,14864001,3745542,7418469,6646985,8217016,n10,false,0.49196266136434336,0.6052875139547479,0,2959,false,502,4,0.6179265606682179,0.4620361204540254,null
8436419,26607793,622581,7022234,791604,415491,207090,4618301,0,470242,321362,162127,253364,1217820,1393203,1017777,0,121894,348348,104484,216878,579781,26028012,201025,373349,5407,84951,116074,38407,46544,77574,38500,372005,1344,144639,227366,1344,0,350,5057,344,6,5057,0,11164011,14864001,3745542,7418469,6646985,8217016,n12,false,0.8939800471566866,0.46931172469547855,0,3707,false,503,7,0.08411280914527236,0.5597288968719627,null
8436419,26607793,622581,7022234,791604,415491,207090,4618301,0,470242,321362,162127,253364,1217820,1393203,1017777,0,121894,348348,104484,216878,579781,26028012,201025,373349,5407,84951,116074,38407,46544,77574,38500,372005,1344,144639,227366,1344,0,350,5057,344,6,5057,0,11164011,14864001,3745542,7418469,6646985,8217016,n13,true,0.8333038444993054,0.770227106546004,12,2455,false,503,9,0.032908705347140965,0.05722521380729462,null
