id,isSmoker,willpower,health,smokedPerDay,givingUp,stepsSinceGiveUp,influenceability,sociable,maxDegree,cigLimit
n45,true,0.19740146789759955,0.5078849244943827,36,true,60,0.5442700634631845,0.6507345640011908,10,70
n49,true,0.18982919846070878,0.9225845946690769,39,true,88,0.5574071004236891,0.6715688622903206,10,70
n50,false,0.46613325221604607,0.9514509532132311,12,true,60,0.5662959330563878,0.9547815098522856,10,70
n53,true,0.047912011721098234,0.5158485366055887,17,true,99,0.8431922779067743,0.6717137994224778,10,70
n55,true,0.3655464308449153,0.6574024952207532,19,true,15,0.4750010576645621,0.8512134365747105,10,70
n63,false,0.5006059186941633,0.370961704315453,0,true,300,0.7478783262653642,0.5286833762772517,10,70
n65,true,0.18724466363784023,0.7845249741106662,23,true,10,0.6636219014347745,0.4386672636906317,10,70
n66,true,0.024895868587613057,0.5734348444281686,13,true,290,0.943400032275384,0.6481401143786274,10,70
n74,false,0.3942838487154687,0.474706033492053,31,true,129,0.12826469157481474,0.1841493747220836,10,70
n75,true,0.10005454188723437,0.7872816964766787,27,true,16,0.8424341493224862,0.9596225984837474,10,70
n76,true,0.22009993077581982,0.7308037036744683,38,true,44,0.5465893900777099,0.9688535362407568,10,70
n78,false,0.5959607700920249,0.7123390286069723,57,true,49,0.2154794182613756,0.8491093790279042,10,70
n84,false,0.35702920125783844,0.6928661516579993,35,true,30,0.3556059335988862,0.5621386999560953,10,70
n88,true,0.4323047343850193,0.7893509350420785,51,true,46,0.28542022498024855,0.2887100492718021,10,70
n94,true,0.18657865551052052,0.7535675976670176,48,true,30,0.6007881831411496,0.40693756644987394,10,70
n96,true,0.6411185889145101,0.6158061626750188,43,true,47,0.0877224977711568,0.8249897160977576,10,70
n98,false,0.133725993311378,0.6605027160986894,39,true,1,0.7659795117050885,0.38501246213431073,10,70
n103,true,0.968104842111513,0.6213678817362771,14,false,0,0.9347448580697516,0.4784266600582907,10,70
n104,true,0.4733963209687113,0.6752484613761559,34,true,8,0.37597720092730363,0.519202318494746,10,70
n107,true,0.37794276914505964,0.8734541541095102,10,false,0,0.437919674794361,0.8977903355465453,10,70
n109,false,0.027154837033586066,0.6819043510815234,0,true,300,0.5605767462667538,0.7758360957147381,10,70
n110,false,0.15028162200114237,0.7224305724495528,0,false,0,1.2270190290356966,0.6463490737929466,10,70
n111,true,0.07309548534007565,0.5432702242962699,12,false,0,0.3598415083407064,0.4649247762180614,10,70
n118,false,0.45252183504221427,0.4126644452588854,19,true,5,0.4448249094484667,0.5638122792066212,10,70
n119,true,0.10507569534517676,0.7401614783154715,50,true,26,0.8511419137849013,0.21081343863172552,10,70
n121,true,0.3120590850500982,0.7816267442604604,46,true,37,0.37814238848716136,0.8318502191729608,10,70
n122,false,0.05186601202463459,0.4940395920361198,27,true,6,0.9268212181093047,0.8768348597842752,10,70
n123,false,0.49235885652229416,0.606195299188408,41,true,11,0.21435766353402347,0.752125668238446,10,70
n124,false,0.15408887658561787,0.9283793961815321,0,true,300,0.7218924044538659,0.6490840029638248,10,70
n125,true,0.5298631393009202,0.7669983564715086,18,true,13,0.40390356438249647,0.8718831416271866,10,70
n128,true,0.28043725960948773,0.5838301890762321,12,true,3,0.47870875849308325,0.8195077523756882,10,70
n131,false,0.393452162941745,0.6101332619086329,32,true,15,0.26043142092782257,0.9399587251780827,10,70
n134,true,0.6093079958140809,0.36382442696771045,11,false,0,0.9180089012179026,0.5196183838706598,10,70
n136,true,0.0825586135966504,0.42906936009686675,13,false,0,0.15269605627440336,0.527974604380117,10,70
n141,true,0.3252708994520841,0.8473656333318992,70,true,13,0.5674380771988384,0.9007159564844265,10,70
n142,true,0.9858638278540153,0.7703966806167745,11,false,0,0.6435439841727958,0.8373853398397771,10,70
n145,true,0.09955265902887869,0.5522910508823928,27,true,18,0.8672622540317071,0.07640559601964148,10,70
n148,true,0.4202674006813194,0.6665426446004675,11,false,0,0.2183649484883446,0.07104861005392205,10,70
n153,false,0.18581483517916939,0.373708320950555,55,true,14,0.6836495806941691,0.4057406083422919,10,70
n154,true,0.5576115898764568,0.9857292804127267,47,true,51,0.10868694420652619,0.9453990550595368,10,70
n159,true,0.36854914476924583,0.71136613294209,20,true,20,0.3656006971612725,0.8692682323179197,10,70
n161,false,0.14344081398272973,0.3341977833560176,0,false,0,0.012519102769406003,0.645101400271531,10,70
n167,true,0.4742132900191417,0.9793660724535177,11,false,0,0.04596564126471214,0.5727086595422484,10,70
n168,true,0.7447439856178736,0.7342914001522902,13,false,0,0.43920891232106035,0.28734473679886113,10,70
n169,false,0.13886319483390697,0.3960294491462053,15,true,13,0.8715274717342696,0.37573698678070566,10,70
n171,false,0.31598399949313905,0.7314674645805795,0,false,0,1.3435472259882102,0.9478327798026984,10,70
n173,true,0.9264823349036619,0.7610577328768864,12,false,0,0.6634944016132898,0.2663698329827277,10,70
n178,true,0.16967375233948467,0.8672565740773605,12,false,0,0.3341483623234395,0.565486597442754,10,70
n181,true,0.5458315120451255,0.6792336233127002,11,true,56,0.09415129164993755,0.7238874025259481,10,70
n183,true,0.4414696242280126,0.7580469315649332,36,true,19,0.3401668979778603,0.7275917102238398,10,70
n186,true,0.402926414678823,0.8230458613889762,12,true,46,0.5216759677935736,0.3480903160840554,10,70
n187,true,0.4803997330455203,0.8209695285308303,13,true,20,0.4527778754533232,0.24165902481173146,10,70
n189,false,0.8648075723963022,0.872040848067452,0,true,300,0.12576056416712772,0.9590036726000291,10,70
n191,true,0.19213461588236444,0.7597499029965565,11,true,20,0.7219725293013014,0.8238776577729355,10,70
n194,false,0.9514577727114799,0.7914925633295107,0,true,300,1.0905919860264057,0.6594875634937039,10,70
n197,true,0.023278334981263707,0.433950244164682,64,true,55,0.9531672260678071,0.7380372704769531,10,70
n206,true,0.19064798647278006,0.8197268631530125,48,true,15,0.713313992270539,0.41113771466441346,10,70
n209,true,0.433407623026213,0.4816196491791641,63,true,6,0.24201973254022058,0.7101176923336328,10,70
n212,true,0.9081698967295957,0.4229001484388784,13,false,0,0.33459310305820494,0.06467157716973437,10,70
n213,false,0.5420522541357581,0.6502994141863817,51,true,61,0.05458584627371734,0.5998865178982589,10,70
n217,true,0.30709795062356443,0.6825152143753588,38,true,8,0.508642770359018,0.7235281652154011,10,70
n222,true,0.06259028727491166,0.8094611734523562,23,true,34,0.9279040482724729,0.9043928871954098,10,70
n225,false,0.4048161504546506,0.27352620295890484,42,true,18,0.37009569399366354,0.5181419751727864,10,70
n228,false,0.5982128584599294,0.7125044122586053,0,true,300,0.4054026493372372,0.6587022845033687,10,70
n230,false,0.6649152756052078,0.575019657717966,0,true,300,0.6614049473054258,0.6792126365282686,10,70
n231,true,0.15475071335670873,0.6111677589141762,12,true,40,0.5914545141482336,0.7053328868778476,10,70
n233,false,0.9012713034365352,0.6870938827943373,0,false,0,0.30149100406689816,0.13816090269040687,10,70
n235,false,0.9794600231695165,0.5889383470911205,0,true,300,0.40198680276814075,0.22718195333441293,10,70
n236,true,0.009975489568967877,0.5961439873291908,19,true,272,0.9850357806097826,0.33331262019873137,10,70
n242,false,0.2509264548048674,0.6436766042612238,19,true,2,0.7498226187403277,0.9570179826073275,10,70
n249,false,0.669724788325501,0.4732374365734652,42,true,17,0.13144309518905087,0.4300457030883565,10,70
n250,false,0.3016346921130858,0.5312357789813514,51,true,20,0.5273037740840486,0.7718964030825494,10,70
n257,false,0.04926029090436673,0.6005077463026778,0,false,0,0.2863893092777363,0.7550062460714455,10,70
