id,isSmoker,willpower,health,smokedPerDay,givingUp,stepsSinceGiveUp,influenceability,persuasiveness,sociable,maxInDegree,maxOutDegree,cigLimit
n0,true,0.1619456142056405,0.4218387666774047,47,true,37,0.664724992152448,0.4406960081798421,0.3437077280183068,10,10,70
n1,true,0.0032221774423461602,0.003024813257954148,49,true,328,1.0681413786679146,0.43627908789172076,0.47084941100416067,10,10,70
n2,false,0.22707262837521686,0.7866843730542645,12,true,3,0.35734116467031235,0.07624418677212474,0.05295347669554795,10,10,70
n3,false,0.7797576703756497,0.9974303602678131,0,true,829,1.0499202996892492,0.011039920877614129,0.7393850325224067,10,10,70
n5,false,0.17297649017481317,0.35484346911578024,70,true,6,0.5530179392898318,0.981854447144968,0.21186699549507398,10,10,70
n8,false,0.43998244788181756,0.6298312268570191,51,true,7,0.29289059877888035,0.17555919649530644,0.9937759377258326,10,10,70
n10,false,0.01662985910880302,0.047591219263467224,12,true,128,1.214174486701349,0.6083602639609617,0.24868353890685801,10,10,70
n17,true,0.444630784667654,0.8018319137135398,37,true,105,0.2922639395285086,0.38241989644559043,0.6720003258656342,10,10,70
n19,true,0.19482465969059906,0.21549306598704998,18,true,35,0.7843758343899274,0.3908956950178663,0.20000768017964593,10,10,70
n21,true,0.07827213951961665,1.4062847215291744E-4,12,false,0,0.6234623300888782,0.1631989870862372,0.7531233926954229,10,10,70
n23,false,0.5064593440451938,0.9943656470760428,12,true,655,0.4620194865084948,0.24898181420982485,0.6317968367251374,10,10,70
n24,true,0.29600145401931244,0.3861260272134089,54,true,4,0.5554418211520603,0.6493079164310159,0.6448452455220554,10,10,70
n28,true,0.10885214819016364,0.10261665147633757,32,true,18,1.0934284593454084,0.576621754483333,0.8589624968833923,10,10,70
n33,true,0.00587693777858281,1.7627364387274444E-4,14,true,825,0.9943868421241967,0.4260147134204889,0.7321883759741312,10,10,70
n38,false,0.5484857714568317,0.9951290492803445,0,false,0,0.8595634218818953,0.4741942004907541,0.7761069189740357,10,10,70
n42,true,0.1066697832725942,0.5797796089850293,12,true,72,0.3654186167714063,0.328945370924017,0.9322309156364532,10,10,70
n48,false,0.38393405841704364,0.9934830438917734,40,true,762,0.9074028112875985,0.6214870810564959,0.873064976434644,10,10,70
n56,false,0.5669459456878769,0.9912721676857394,0,true,829,0.29498128471364116,0.39454358111642496,0.9978136343023559,10,10,70
n58,false,0.7986973460178625,0.9983650480884386,13,true,663,0.3901295007742189,0.6262371331833961,0.4739963552300642,10,10,70
n60,true,0.34639606284297886,1.0697096917154811E-4,11,false,0,0.2267475888297385,0.6673349792231047,0.8249083331317408,10,10,70
n62,true,0.010536824609201467,0.045300059692023484,12,true,122,1.0194688799709564,0.004596838970564454,0.6612467831221662,10,10,70
n63,false,0.11366105614584049,0.9956303601067541,12,true,709,1.2219620791890233,0.8472874202992778,0.677606690848744,10,10,70
n65,true,0.01867003780230541,0.042887888575099814,32,true,70,1.0728133877641473,0.9432476318219171,0.5338390563804042,10,10,70
n69,true,0.0460837155081979,0.18797118312369462,12,true,22,0.8730181790395387,0.28617471671831457,0.8514173977585663,10,10,70
n70,true,0.05152708153575079,0.2615758003556599,26,true,55,0.9758103010776474,0.302523803776219,0.5891190514467084,10,10,70
n72,false,0.7942929830603593,0.9946882217532833,0,false,0,0.9842856731391173,0.708059021401764,0.929625482196555,10,10,70
n73,false,0.01761880499670466,0.09922856400331573,69,true,12,0.9457386914012783,0.48714893750749294,0.6098436152273229,10,10,70
n75,false,0.0,0.9947029000418309,12,true,705,0.44692024042665623,0.5108168098793557,0.9939263375493234,10,10,70
n82,true,0.10159106773281024,0.4489864455886184,11,true,71,0.4546798936107644,0.38524588691977096,0.3703739286534413,10,10,70
n92,false,0.7395668435591147,0.999239377795111,39,true,19,0.050020211063456235,0.2858263928175949,0.18221897845436807,10,10,70
n94,false,0.3082567677009333,0.9999739869431487,12,true,796,1.0194572101793464,0.3179131611226437,0.6981377829022313,10,10,70
n97,true,0.0054789959654128655,0.0026070475935174933,45,true,419,1.0024198555051154,0.4600348394862149,0.5648936421197442,10,10,70
n103,true,0.09866892363630408,0.1703754042237807,68,true,35,0.7892487470625243,0.6827360134525948,0.6431006775229253,10,10,70
n105,true,0.4849209581878429,0.5860929092270248,43,true,11,0.395821592883014,0.31024611976445365,0.683762008307,10,10,70
n110,false,0.7022552316604111,0.9977761906420161,61,true,678,0.38838934218558757,0.66243976968626,0.6179715790823865,10,10,70
n112,true,0.018883986205152782,0.015946897292492452,27,true,49,0.9716730490182501,0.405551904975226,0.3651012208873292,10,10,70
n113,false,0.028704158326440132,0.9922234758378473,13,true,828,2.154297507535919,0.23377375918165583,0.7206851265054581,10,10,70
n114,true,0.6574558687302392,1.1875025695524145E-4,12,false,0,0.22955166786599657,0.573785756791346,0.4384860552238553,10,10,70
n116,true,0.13334665830333509,0.6462864715859435,12,true,50,0.4890557651029066,0.4657934404467293,0.49786946056685644,10,10,70
n118,false,0.026834330358554648,0.09039161260564176,63,true,37,0.9810022691488438,0.6559458302864329,0.5081469166301574,10,10,70
n119,false,0.16670403041872034,0.9962045977730606,12,true,613,1.1264544521136628,0.6315152722819518,0.7376125699141662,10,10,70
n122,false,0.26087969231410646,0.9933453934430512,58,true,713,0.974337957520322,0.5343735011209685,0.0867261401305911,10,10,70
n123,true,0.5341369483770304,2.309020447612486E-4,11,false,0,0.24009215613772572,0.5556182132363378,0.4911617481166271,10,10,70
n127,false,0.020741954536901745,0.2790751287038455,63,true,26,0.9792243024638511,0.20143854054169974,0.8603860460938586,10,10,70
n139,true,0.15181305461007194,3.129952773010179E-4,16,false,0,0.3738638330337114,0.7716145724860808,0.8612387195051465,10,10,70
n141,false,0.3207997202823309,0.996465574603985,17,true,793,1.2334563129995963,0.8110155150759383,0.9469445197890582,10,10,70
n142,false,0.0,0.9912846151061038,30,true,703,0.3422093323796818,0.70899879312288,0.8319311328522948,10,10,70
n147,false,0.5505602054733271,0.9904142837118146,12,true,764,0.12044872719431195,0.5587013363271143,0.855043334447571,10,10,70
n151,true,0.0,0.0018913877893249249,39,true,495,0.8406381060350885,0.6292760704266084,0.8754152620699265,10,10,70
n152,false,0.5240030242379752,0.9963636081624941,36,true,466,0.3406046674518099,0.7298864458730924,0.7695052925278445,10,10,70
n158,true,0.03256489259549039,1.5430061211865932E-4,13,false,0,0.005709054648360523,0.538810874338034,0.48476368969749833,10,10,70
n166,true,0.0,2.218667627201325E-4,56,true,780,0.7959481067426337,0.35103044166824376,0.738287184577064,10,10,70
n168,true,0.09382715435831233,1.718034138410123E-4,14,true,821,0.5313945610415544,0.38993183128759346,0.5822194331980646,10,10,70
n169,true,0.35541599896287235,0.9288017719849311,42,true,87,0.07239560562109469,0.13983094719032524,0.28850446138814656,10,10,70
n172,false,0.3764802572879255,0.41593598898247264,46,true,3,0.5493206868606897,0.3364644643469582,0.7200030604670605,10,10,70
n174,true,0.002105731223034072,2.326157568363704E-4,13,true,805,0.999566448317833,0.07902605463968848,0.6948874699026295,10,10,70
n179,true,0.025462534872602582,0.06374191689672298,11,true,65,1.0500616533153668,0.3430548417489172,0.8338231826549799,10,10,70
n187,false,0.0,0.9932761332007443,46,true,770,0.3870321431938218,0.9611142865080399,0.5565783230207895,10,10,70
n188,false,0.13732320553925625,0.2820963328542102,12,true,9,0.7311767682039656,0.02877943153310436,0.9104489467725689,10,10,70
n191,true,0.09641253548909312,0.02122924867142048,26,true,290,0.9063000322694821,0.6541386768082963,0.4363402014678963,10,10,70
n193,true,0.053909290024440094,0.00484601159687878,26,true,52,1.1673780021756537,0.15969220710735316,0.3780557485264683,10,10,70
n196,false,0.17977057126205986,0.991604337818095,12,true,643,1.2166592939256446,0.8744727563948015,0.6802945383125834,10,10,70
n197,false,0.10010000318536871,0.997116662161997,56,true,626,1.119850477512219,0.7382982226749802,0.8714497128743068,10,10,70
n199,true,0.21873948739211474,0.506969430649481,38,true,13,0.6558590536078899,0.6499180062634284,0.865686905365473,10,10,70
n201,false,0.1361437452333752,0.9911451584177619,14,true,801,1.770342905847446,0.7958856424899579,0.9752442849842877,10,10,70
n202,true,0.22641611188291538,0.38422764577324225,38,true,17,0.6532803026451622,0.4397417738508504,0.4062657766286915,10,10,70
n203,false,0.4968805051518343,0.9963498518333482,0,false,0,0.5747414091013738,0.5713748713220691,0.4466093152281587,10,10,70
n205,false,0.811073865537117,0.9952220047712411,0,false,0,2.050722065467522,0.693213639342081,0.9170554048685448,10,10,70
n208,false,0.29882442777578605,0.9954131572284536,13,true,818,1.4513678284483833,0.6440096464027212,0.3122268777341644,10,10,70
n209,false,0.0958954418121512,0.9974128654696913,48,true,698,1.2371645841373695,0.666896411943126,0.4351459360968768,10,10,70
n211,false,0.1950487404668808,0.9969072695697376,54,true,718,1.148960342783089,0.8651572902573375,0.31493670086093617,10,10,70
n220,false,0.0,0.9930617109404388,42,true,784,1.736268575915307,0.48355811950615357,0.43399467120989005,10,10,70
n221,false,0.09795632167429663,0.9977374154871169,0,true,829,1.413219288922774,0.8493368001327517,0.953546609744023,10,10,70
n222,true,0.32625792247734275,1.63186117401343E-4,13,false,0,0.4504549072313848,0.04482544551635753,0.5351498070391327,10,10,70
n226,true,0.0,2.9896310720189766E-4,12,true,566,0.9573805801412941,0.011654220779720115,0.8747970897618904,10,10,70
n227,true,0.0,2.3469898211658002E-4,66,true,813,0.7773474770445287,0.3853081543488811,0.9283589633965433,10,10,70
n231,false,0.9328023330752649,0.9988422548650069,0,false,0,0.5396457809984548,0.29141340411946354,0.9651134563613054,10,10,70
n234,false,0.15698236485256978,0.9927403751774787,11,true,461,0.5892518107326328,0.8377264757526006,0.8035882853814612,10,10,70
n237,true,0.42805157393841964,2.2242346121631576E-4,10,false,0,0.0666911656768161,0.03657335758414826,0.7812529732053126,10,10,70
n242,true,2.44077334136783E-4,3.295264295352224E-4,35,true,789,1.000511357177058,0.411226381446591,0.24762956828089455,10,10,70
n250,true,0.19047575791713767,3.1069854152491593E-4,26,false,0,0.2725934409902909,0.839731531633322,0.6684124818285773,10,10,70
n251,true,0.0022230810981955966,0.004432159865562032,64,true,455,1.0136505958449085,0.7870518747712385,0.6042541715473738,10,10,70
n257,true,0.19490074885159894,0.7237096875173717,12,true,23,0.5708667889729104,0.6415891424670305,0.6702321199658015,10,10,70
n263,false,0.303352692383335,0.9973457023275137,13,true,798,1.3208795244524458,0.4513261261058294,0.6861167222882271,10,10,70
n264,false,0.34372728754656023,0.9987054968282483,41,true,761,1.0354071252844776,0.6695812013743035,0.6027164187268981,10,10,70
n271,true,0.9687506919976814,2.0439105524954046E-4,12,false,0,0.5292162247407429,0.5435753772279011,0.8658101189246387,10,10,70
n275,false,0.9723130387122612,0.9949534770582573,0,true,829,2.255657251036412,0.8319417642436254,0.732163645022992,10,10,70
n281,true,0.0,0.007702843779015695,42,true,399,0.8023612724087219,0.6361020933937136,0.5339820579385005,10,10,70
n282,true,0.0,7.211565518592583E-4,35,true,795,0.537904669160702,0.3599079618989899,0.5332681710866213,10,10,70
n283,false,0.010302520739061329,0.04669378675713953,13,true,83,1.104210476173353,0.4491998901844245,0.9218989355950269,10,10,70
n284,false,0.4336444931477023,0.9988487826748041,0,false,0,2.2481442886538945,0.6339744489255483,0.997865065555591,10,10,70
n285,true,0.5299414551390298,2.604511817999256E-4,13,false,0,0.5889754032895728,0.07770096651418051,0.5243771157568526,10,10,70
n286,false,0.13044127197100397,0.9918517054718079,0,false,0,2.0237805690161967,0.5075609641445934,0.5662702069384697,10,10,70
n290,false,0.0,0.9952524860478386,25,true,751,1.5936975948732406,0.13086603420340864,0.6559997248266028,10,10,70
n294,false,0.12114598344831584,0.2703807850185691,12,true,30,0.7799919822766251,0.9801104230385367,0.6547502367443301,10,10,70
n295,false,0.21188830394695302,0.9977593355253235,57,true,713,1.6056502010671825,0.45944462218004267,0.4691082649492012,10,10,70
n297,true,0.0,3.9404654042875074E-4,11,true,685,0.6919480123840176,0.21959159528191685,0.6998780973910957,10,10,70
n300,true,0.2851138209597826,0.39027705787262534,13,true,12,0.5366895042503124,0.39423891347120327,0.5004203219555197,10,10,70
n303,true,0.0,0.001454496555980726,19,true,628,0.4065715338712123,0.12605000232948627,0.9197163968613848,10,10,70
n307,true,0.03196296268050308,2.1989188492337736E-4,13,false,0,0.6258030956630696,0.8631929180170312,0.9296653168500154,10,10,70
n308,false,0.0,0.9909628610154747,44,true,707,0.25048015294534764,0.16585741999469472,0.8810362949334032,10,10,70
n315,false,0.011475622008035258,0.9987145971229204,0,true,829,2.094033044418442,0.3662074977702485,0.19783101829658362,10,10,70
n316,true,0.9136240826814579,1.8797104204622907E-4,13,false,0,0.3655269666033565,0.7132029973886247,0.18123768408683316,10,10,70
n317,false,0.6663766148466418,0.9930468233917751,12,true,823,9.89415118016236E-4,0.31275558512809465,0.4724450865191074,10,10,70
n318,false,0.6695972647819366,0.9986785106470423,59,true,18,0.06363596577695795,0.6953129659668901,0.7751291986504674,10,10,70
n320,true,0.00643470185167885,0.14321627752299074,11,true,35,0.960148402708218,0.004832019867550386,0.24199371600566894,10,10,70
n327,true,0.2100846241176167,2.0395226774952711E-4,52,true,794,0.7425707479336984,0.8478141582315648,0.5292352661600279,10,10,70
n335,true,0.35218621658036686,0.4953011692672374,31,true,8,0.413435581902426,0.2623762017469554,0.3001074962126429,10,10,70
n336,true,0.0,2.7824460811587116E-4,39,true,713,0.9284862507254207,0.8599439129661668,0.5327374509424141,10,10,70
n338,true,0.0,5.717495119446165E-4,62,true,690,0.6174607812718265,0.042068916216109864,0.7799009273606686,10,10,70
n340,true,0.07306764106989987,0.4592168496153802,12,true,38,0.6175671115391068,0.3916884080254095,0.8571977532408332,10,10,70
n352,true,0.5483627681247273,2.1587454593003475E-4,12,false,0,0.46302719556573313,0.9123951240037251,0.4825100808671703,10,10,70
n353,true,0.1946037482663378,0.5165047342188246,12,true,8,0.41660452735124354,0.38007346184526336,0.6519781967178001,10,10,70
n356,true,0.032260798607559295,0.16890100417591092,12,true,45,1.02608394834111,0.06818625759540509,0.7435231857371546,10,10,70
n361,true,0.18561668513145302,0.7621238822016514,13,true,39,0.6505005746012134,0.49362045308446983,0.7721677007807283,10,10,70
n363,true,0.9913594421600657,2.0002514425947613E-4,13,false,0,0.16830482489435883,0.9441393033544478,0.7698526522269012,10,10,70
n369,true,0.7636319377228051,2.0490379109682177E-4,12,true,829,0.15861694118155867,0.5203235187303427,0.7000114022023862,10,10,70
n371,false,0.44725242647413277,0.273891964114995,43,true,4,0.5544074750419129,0.3089390605264045,0.29126499391502836,10,10,70
n372,true,0.029017511902538096,0.0792982220720951,54,true,147,0.9492363792798476,0.28906587929027716,0.5673046558900299,10,10,70
n374,false,0.4573897573769161,0.9985463803417168,13,true,649,1.036979555318114,0.8339217387450588,0.4796188835890658,10,10,70
n375,false,0.374362458214344,0.9953694066856044,37,true,642,0.8828361168539398,0.5714825699709718,0.388100870654271,10,10,70
n377,false,0.0,0.9985697417671591,27,true,742,1.7520832182224526,0.6960115473383588,0.6173189009191382,10,10,70
n381,false,0.04307203851056035,0.06750362153424673,36,true,6,1.0314108068992254,0.2561849885450386,0.6040353601539041,10,10,70
