id,isSmoker,willpower,health,smokedPerDay,givingUp,stepsSinceGiveUp,influenceability,persuasiveness,sociable,maxDegree,cigLimit
n0,false,0.32635015767013126,0.3979223996118889,14,true,11,0.4441830606075865,0.3365002649819707,0.3944411567454625,10,70
n1,false,0.3703969926465076,0.4103404860317678,12,true,13,0.5122445079214476,0.5258011297742254,0.5710058224055683,10,70
n2,false,0.23694045098777308,0.4801169991023909,11,true,4,0.6082590285744929,0.8140279895514236,0.8976410975799352,10,70
n3,true,0.24106095029891428,0.7733021227487089,18,true,13,0.5571870318651709,0.5396571952606166,0.2552993328750205,10,70
n8,false,0.4396584100061721,0.77948638086859,0,false,0,0.18120510583094177,0.35984879798863095,0.8917792541984619,10,70
n10,false,0.4374492055971292,0.5787939967099586,11,true,15,0.1041150326471631,0.6558036861859576,0.7111368297629933,10,70
n11,false,0.2504834035661138,0.5147514161684169,14,true,17,0.46937102360073435,0.1974895735233464,0.7885820751268682,10,70
n12,true,0.3650581363517471,0.5320987501282634,11,false,0,0.6697718464456199,0.5395960404220884,0.9576346525972184,10,70
n21,false,0.33229333864068705,0.9925789014836637,12,true,18,0.23976487108494826,0.5056860257488829,0.679772136525989,10,70
n26,false,0.3929790574764452,0.7685233479049702,12,true,4,0.4336619719191846,0.7643638474041525,0.6058559495776135,10,70
n28,true,0.533599879116541,0.7817464550471004,13,true,19,0.701044250077029,0.5703425598017274,0.6563491400847911,10,70
n29,true,0.012343602516055121,0.6440659316856643,18,true,15,0.9832756060413623,0.043355718742740246,0.6585054251636092,10,70
n30,true,0.03298791565507653,0.4126298519476878,12,false,0,0.5955637934721598,0.41351848416753534,0.8829065662604803,10,70
n31,false,0.625382703874454,0.5932946725118626,0,true,19,0.2073499262181597,0.2919224006563311,0.6642357392466695,10,70
n32,true,0.36502548823923997,0.4243097349955685,16,true,16,0.29512290000103114,0.6198087017879236,0.8322035929281454,10,70
n38,true,0.718142978835647,0.7532900764470569,14,true,3,0.10232117413416475,0.4529659953696107,0.8339144603019096,10,70
n45,true,0.10484690520839163,0.4118330421572536,11,false,0,0.6138032831098137,0.5353137892258533,0.7133524885285503,10,70
n46,true,0.17975209977243,0.6298618336514838,18,true,8,0.7318325925805635,0.9264524939569463,0.5036254849688016,10,70
n48,true,0.3233348374947901,0.5047411456244213,19,true,8,0.3536833016517749,0.8526146847740463,0.5831174481448542,10,70
n49,false,0.33855841759787597,0.6213528172766088,18,true,3,0.3235292540170214,0.8073315150431939,0.663123121079829,10,70
n50,true,0.21298721439039867,0.6846985749165503,25,true,4,0.7000107800758765,0.906324032293143,0.9944512087414875,10,70
n57,true,0.060313333036835504,0.6331049220152545,16,true,19,0.44972567275257763,0.29174672651898736,0.9871880024226078,10,70
n58,false,0.7063451622708541,0.9013631129762893,0,false,0,0.7115001892984604,0.4947474802865499,0.8955645182419034,10,70
n67,true,0.0036834223637073893,0.40719557993590394,13,false,0,0.46256470006356587,0.49752381034641263,0.4141087503539729,10,70
n71,false,0.24157086481733586,0.6935293255667507,12,true,8,0.555239570721512,0.6735584489606992,0.7039502724083245,10,70
