rtA1,rtA2,rtA1a,rtA1b,rtA1c,rtA1a1,rtA1a2,rtA1b1,rtA1b2,rtA1c1,rtA1c2,rtA1a1a,rtA1a1b,rtA1a2a,rtA1a2b,rtA1b1a,rtA1b1b,rtA1c1a,rtA1c1b,rtA1c2a,rtA1c2b,rtA2a,rtA2b,rtA2a1,rtA2a2,rtA2a3,rtA2a1A,rtA2a1B,rtA2a1A1,rtA2a1A2,rtA2a1B1,rtA2a1B2,rtA2a2A,rtA2a2B,rtA2a2A1,rtA2a2A2,rtA2a2B1,rtA2a2B2,rtA2a3A,rtA2a3B,rtA2a3A1,rtA2a3A2,rtA2a3B1,rtA2a3B2,rtA2b1,rtA2b2,rtA2b1A,rtA2b1B,rtA2b2A,rtA2b2B,id,isSmoker,willpower,health,smokedPerDay,turnsSinceLastChange,givingUp,stepsSinceGiveUp,giveUpAttempts,influenceability,sociable,$SWITCH_TABLE$simconsts$Operations
3641452,16212760,328340,3114135,198977,234265,94075,2077225,0,112050,86927,55421,178844,464573,666412,486268,0,29951,82099,31727,55200,397075,15815685,146011,249818,1246,63364,82647,27874,35490,54906,27741,249773,45,96970,152803,45,0,2,1244,0,2,1244,0,6723914,9091771,2155487,4568427,4175817,4915954,n0,false,0.8191012022309813,0.746446853383712,0,10500,false,500,0,0.4980477120012749,0.4450878813640151,null
3641452,16212760,328340,3114135,198977,234265,94075,2077225,0,112050,86927,55421,178844,464573,666412,486268,0,29951,82099,31727,55200,397075,15815685,146011,249818,1246,63364,82647,27874,35490,54906,27741,249773,45,96970,152803,45,0,2,1244,0,2,1244,0,6723914,9091771,2155487,4568427,4175817,4915954,n1,true,0.15040015956727615,0.7542458758323816,10,2513,false,500,1,0.24486701391518495,0.219915457707192,null
3641452,16212760,328340,3114135,198977,234265,94075,2077225,0,112050,86927,55421,178844,464573,666412,486268,0,29951,82099,31727,55200,397075,15815685,146011,249818,1246,63364,82647,27874,35490,54906,27741,249773,45,96970,152803,45,0,2,1244,0,2,1244,0,6723914,9091771,2155487,4568427,4175817,4915954,n2,true,0.6215218622279913,0.8003528173131926,10,5970,false,500,1,0.4121270694795848,0.8972759475418117,null
3641452,16212760,328340,3114135,198977,234265,94075,2077225,0,112050,86927,55421,178844,464573,666412,486268,0,29951,82099,31727,55200,397075,15815685,146011,249818,1246,63364,82647,27874,35490,54906,27741,249773,45,96970,152803,45,0,2,1244,0,2,1244,0,6723914,9091771,2155487,4568427,4175817,4915954,n3,false,0.0077691647902445714,0.734053548110419,0,10500,false,500,0,0.5144337102074323,0.07595471670217813,null
3641452,16212760,328340,3114135,198977,234265,94075,2077225,0,112050,86927,55421,178844,464573,666412,486268,0,29951,82099,31727,55200,397075,15815685,146011,249818,1246,63364,82647,27874,35490,54906,27741,249773,45,96970,152803,45,0,2,1244,0,2,1244,0,6723914,9091771,2155487,4568427,4175817,4915954,n4,true,0.8476408328238757,0.7797815630082817,11,8652,false,0,1,0.3302299236162659,0.840575071327416,null
3641452,16212760,328340,3114135,198977,234265,94075,2077225,0,112050,86927,55421,178844,464573,666412,486268,0,29951,82099,31727,55200,397075,15815685,146011,249818,1246,63364,82647,27874,35490,54906,27741,249773,45,96970,152803,45,0,2,1244,0,2,1244,0,6723914,9091771,2155487,4568427,4175817,4915954,n6,true,0.4834765392810214,0.8436641981430812,9,5972,false,500,1,0.8462237315786152,0.7929599181749184,null
3641452,16212760,328340,3114135,198977,234265,94075,2077225,0,112050,86927,55421,178844,464573,666412,486268,0,29951,82099,31727,55200,397075,15815685,146011,249818,1246,63364,82647,27874,35490,54906,27741,249773,45,96970,152803,45,0,2,1244,0,2,1244,0,6723914,9091771,2155487,4568427,4175817,4915954,n9,false,0.4651208171519471,0.3467547303406848,0,3445,false,502,4,0.6984883332339332,0.36557837127056514,null
3641452,16212760,328340,3114135,198977,234265,94075,2077225,0,112050,86927,55421,178844,464573,666412,486268,0,29951,82099,31727,55200,397075,15815685,146011,249818,1246,63364,82647,27874,35490,54906,27741,249773,45,96970,152803,45,0,2,1244,0,2,1244,0,6723914,9091771,2155487,4568427,4175817,4915954,n10,false,0.441497944018267,0.6052875139547479,0,9917,false,501,2,0.6179265606682179,0.4620361204540254,null
3641452,16212760,328340,3114135,198977,234265,94075,2077225,0,112050,86927,55421,178844,464573,666412,486268,0,29951,82099,31727,55200,397075,15815685,146011,249818,1246,63364,82647,27874,35490,54906,27741,249773,45,96970,152803,45,0,2,1244,0,2,1244,0,6723914,9091771,2155487,4568427,4175817,4915954,n12,true,0.8791746237685142,0.46931172469547855,11,1794,false,0,1,0.08411280914527236,0.5597288968719627,null
3641452,16212760,328340,3114135,198977,234265,94075,2077225,0,112050,86927,55421,178844,464573,666412,486268,0,29951,82099,31727,55200,397075,15815685,146011,249818,1246,63364,82647,27874,35490,54906,27741,249773,45,96970,152803,45,0,2,1244,0,2,1244,0,6723914,9091771,2155487,4568427,4175817,4915954,n13,false,0.829479468744305,0.770227106546004,0,9661,false,500,1,0.032908705347140965,0.05722521380729462,null
